GSM5788557	01_AD_02_LS_01
GSM5788558	01_AD_04_LS_01
GSM5788559	01_AD_04_NL_02
GSM5788560	01_AD_05_LS_01
GSM5788561	01_AD_05_LS_02
GSM5788562	01_AD_05_NL_01
GSM5788563	01_AD_06_NL_02
GSM5788564	01_AD_07_LS_02
GSM5788565	01_AD_08_LS_02
GSM5788566	01_AD_09_NL_01
GSM5788567	01_AD_10_LS_02
GSM5788568	01_AD_13_LS_02
GSM5788569	01_AD_14_NL_02
GSM5788570	01_AD_15_NL_01
GSM5788571	01_AD_16_LS_01
GSM5788572	01_AD_19_NL_02
GSM5788573	01_AD_20_LS_01
GSM5788574	01_AD_22_LS_02
GSM5788575	01_AD_25_NL_02
GSM5788576	01_AD_27_NL_02
GSM5788577	01_AD_30_LS_02
GSM5788578	01_AD_30_NL_01
GSM5788579	01_CO_32_HC_01
GSM5788580	01_CO_32_HC_02
GSM5788581	01_CO_33_HC_02
GSM5788582	01_CO_34_HC_01
GSM5788583	01_CO_38_HC_01
GSM5788584	01_CO_39_HC_02
GSM5788585	01_CO_40_HC_02
GSM5788586	01_CO_47_HC_02
GSM5788587	01_CO_49_HC_02
GSM5788588	01_CO_50_HC_02
GSM5788589	01_CO_55_HC_02
GSM5788590	01_CO_60_HC_01
GSM5788591	01_CO_60_HC_02
GSM5788592	02_AD_02_LS_01
GSM5788593	02_AD_09_LS_02
GSM5788594	02_AD_09_NL_01
GSM5788595	02_AD_12_NL_01
GSM5788596	02_AD_14_LS_02
GSM5788597	02_AD_14_NL_02
GSM5788598	02_AD_16_LS_02
GSM5788599	02_AD_22_NL_01
GSM5788600	02_AD_25_LS_01
GSM5788601	02_AD_25_LS_02
GSM5788602	02_AD_25_NL_02
GSM5788603	02_CO_42_HC_01
GSM5788604	02_CO_43_HC_01
GSM5788605	02_CO_54_HC_01
GSM5788606	03_AD_06_LS_01
GSM5788607	03_AD_06_NL_02
GSM5788608	03_AD_12_NL_02
GSM5788609	03_AD_25_NL_01
GSM5788610	03_CO_43_HC_02
GSM5788611	03_CO_45_HC_02
GSM5788612	03_CO_48_HC_02
GSM5788613	03_CO_52_HC_02
GSM5788614	03_CO_54_HC_01
GSM5788615	04_AD_02_LS_01
GSM5788616	04_AD_06_LS_02
GSM5788617	04_CO_33_HC_01
GSM5788618	04_CO_45_HC_01
GSM5788619	04_CO_46_HC_01
GSM5788620	04_CO_54_HC_01
GSM5788621	05_AD_02_NL_01
GSM5788622	05_AD_06_LS_02
GSM5788623	05_AD_12_LS_01
GSM5788624	05_AD_13_LS_01
GSM5788625	05_AD_13_NL_01
GSM5788626	05_AD_15_NL_02
GSM5788627	05_AD_16_LS_02
GSM5788628	05_AD_25_LS_01
GSM5788629	05_CO_43_HC_01
GSM5788630	05_CO_45_HC_02
GSM5788631	05_CO_48_HC_01
GSM5788632	01_AD_04_LS_02
GSM5788633	01_AD_08_NL_01
GSM5788634	01_AD_09_LS_01
GSM5788635	01_AD_09_LS_02
GSM5788636	01_AD_10_LS_01
GSM5788637	01_AD_10_NL_01
GSM5788638	01_AD_11_LS_01
GSM5788639	01_AD_12_LS_01
GSM5788640	01_AD_13_NL_01
GSM5788641	01_AD_13_NL_02
GSM5788642	01_AD_16_LS_02
GSM5788643	01_AD_16_NL_02
GSM5788644	01_AD_17_LS_02
GSM5788645	01_AD_17_NL_01
GSM5788646	01_AD_17_NL_02
GSM5788647	01_AD_18_LS_01
GSM5788648	01_AD_19_NL_01
GSM5788649	01_AD_20_NL_01
GSM5788650	01_AD_20_NL_02
GSM5788651	01_AD_23_NL_01
GSM5788652	01_AD_24_LS_01
GSM5788653	01_AD_26_NL_02
GSM5788654	01_AD_27_LS_02
GSM5788655	01_AD_27_NL_01
GSM5788656	01_AD_29_LS_02
GSM5788657	01_AD_29_NL_01
GSM5788658	01_AD_30_LS_01
GSM5788659	01_CO_35_HC_02
