# Gene set generated on 2024-10-31T12:09:51 using cellxgene version 1.2.0
# Input data file was /atlas/atlas.h5ad, which was last modified on 2024-10-28T17:11:29
gene_set_name,gene_set_description,gene_symbol,gene_description
"Pop1 high (31.10.2024, 13:09:51)",,KRT14,
"Pop1 high (31.10.2024, 13:09:51)",,KRT17,
"Pop1 high (31.10.2024, 13:09:51)",,GPC6-U,
"Pop1 high (31.10.2024, 13:09:51)",,MIR205HG,
"Pop1 high (31.10.2024, 13:09:51)",,KRT8,
"Pop1 high (31.10.2024, 13:09:51)",,SFRP1,
"Pop1 high (31.10.2024, 13:09:51)",,DST-A,
"Pop1 high (31.10.2024, 13:09:51)",,MT-RNR2,
"Pop1 high (31.10.2024, 13:09:51)",,NFIB-U,
"Pop1 high (31.10.2024, 13:09:51)",,H3-3B,
"Pop1 high (31.10.2024, 13:09:51)",,MT1X,
"Pop1 high (31.10.2024, 13:09:51)",,DMD-U,
"Pop1 high (31.10.2024, 13:09:51)",,KRT5,
"Pop1 high (31.10.2024, 13:09:51)",,PLCB4-U,
"Pop1 high (31.10.2024, 13:09:51)",,MYH11-U,
"Pop1 high (31.10.2024, 13:09:51)",,RBMS3-U,
"Pop1 high (31.10.2024, 13:09:51)",,APOE,
"Pop1 high (31.10.2024, 13:09:51)",,GAS6,
"Pop1 high (31.10.2024, 13:09:51)",,PTPRT-U,
"Pop1 high (31.10.2024, 13:09:51)",,MT-RNR1,
"Pop1 high (31.10.2024, 13:09:51)",,RPL15-A,
"Pop1 high (31.10.2024, 13:09:51)",,ITPR1-U,
"Pop1 high (31.10.2024, 13:09:51)",,FST,
"Pop1 high (31.10.2024, 13:09:51)",,CHRM3-U,
"Pop1 high (31.10.2024, 13:09:51)",,FBXO2,
"Pop1 high (31.10.2024, 13:09:51)",,ZBTB20-U,
"Pop1 high (31.10.2024, 13:09:51)",,SORBS1-U,
"Pop1 high (31.10.2024, 13:09:51)",,CDH12-U,
"Pop1 high (31.10.2024, 13:09:51)",,RBFOX1-U,
"Pop1 high (31.10.2024, 13:09:51)",,SEMA3C-U,
"Pop1 high (31.10.2024, 13:09:51)",,CASC15-U,
"Pop1 high (31.10.2024, 13:09:51)",,SNHG29-A,
"Pop1 high (31.10.2024, 13:09:51)",,PDLIM4,
"Pop1 high (31.10.2024, 13:09:51)",,PLXDC2-U,
"Pop1 high (31.10.2024, 13:09:51)",,COL17A1,
"Pop1 high (31.10.2024, 13:09:51)",,DST-U,
"Pop1 high (31.10.2024, 13:09:51)",,OSR1,
"Pop1 high (31.10.2024, 13:09:51)",,MTSS1-U,
"Pop1 high (31.10.2024, 13:09:51)",,MAML2-U,
"Pop1 high (31.10.2024, 13:09:51)",,PERP,
"Pop1 high (31.10.2024, 13:09:51)",,FBXO32,
"Pop1 high (31.10.2024, 13:09:51)",,AUTS2-U,
"Pop1 high (31.10.2024, 13:09:51)",,TGFBR3-U,
"Pop1 high (31.10.2024, 13:09:51)",,CALD1-A,
"Pop1 high (31.10.2024, 13:09:51)",,ARL15-U,
"Pop1 high (31.10.2024, 13:09:51)",,SAA1,
"Pop1 high (31.10.2024, 13:09:51)",,SH3D19-U,
"Pop1 high (31.10.2024, 13:09:51)",,PRKG1-U,
"Pop1 high (31.10.2024, 13:09:51)",,PIP5K1B-U,
"Pop1 high (31.10.2024, 13:09:51)",,MYLK,
"Pop2 high (31.10.2024, 13:09:51)",,S100A4,
"Pop2 high (31.10.2024, 13:09:51)",,ADIRF,
"Pop2 high (31.10.2024, 13:09:51)",,VIM,
"Pop2 high (31.10.2024, 13:09:51)",,CRIP1,
"Pop2 high (31.10.2024, 13:09:51)",,SORBS2,
"Pop2 high (31.10.2024, 13:09:51)",,MCAM,
"Pop2 high (31.10.2024, 13:09:51)",,RERGL,
"Pop2 high (31.10.2024, 13:09:51)",,SOD3,
"Pop2 high (31.10.2024, 13:09:51)",,PLN,
"Pop2 high (31.10.2024, 13:09:51)",,IGFBP7,
"Pop2 high (31.10.2024, 13:09:51)",,CRIP2,
"Pop2 high (31.10.2024, 13:09:51)",,MUSTN1,
"Pop2 high (31.10.2024, 13:09:51)",,FXYD1,
"Pop2 high (31.10.2024, 13:09:51)",,CAVIN3,
"Pop2 high (31.10.2024, 13:09:51)",,PLAC9,
"Pop2 high (31.10.2024, 13:09:51)",,CSRP2,
"Pop2 high (31.10.2024, 13:09:51)",,NET1,
"Pop2 high (31.10.2024, 13:09:51)",,AEBP1,
"Pop2 high (31.10.2024, 13:09:51)",,FLNA,
